,life_main,people_main,photos,relation,wall_posts,target
336,1.0,1.0,1.0,1.0,477.0,635.0
337,1.0,1.0,242.0,1.0,3108.0,243.0
338,1.0,1.0,164.0,1.0,1902.0,243.0
339,1.0,1.0,16.0,1.0,207.0,670.0
340,1.0,1.0,81.0,1.0,128.0,875.0
341,1.0,1.0,172.0,1.0,1289.0,1112.0
342,1.0,1.0,2223.0,1.0,584.0,280.0
343,1.0,1.0,437.0,1.0,328.0,539.0
344,2.0,3.0,1258.0,5.0,2372.0,806.0
345,1.0,1.0,135.0,1.0,119.0,331.0
346,1.0,1.0,140.0,1.0,1126.0,374.0
347,1.0,1.0,49.0,1.0,1248.0,1647.0
348,1.0,1.0,299.0,1.0,1124.0,616.0
349,1.0,1.0,424.0,1.0,438.0,398.0
350,1.0,1.0,181.0,1.0,179.0,534.0
351,5.0,3.0,207.0,1.0,59.0,836.0
352,1.0,1.0,257.0,1.0,2985.0,370.0
353,1.0,1.0,452.0,1.0,1971.0,395.0
354,6.0,7.0,248.0,2.0,310.0,744.0
355,1.0,1.0,104.0,1.0,76.0,696.0
356,1.0,1.0,1375.0,1.0,258.0,303.0
357,1.0,1.0,1073.0,1.0,2940.0,479.0
358,1.0,1.0,17.0,5.0,714.0,242.0
359,1.0,1.0,212.0,1.0,345.0,1043.0
360,1.0,1.0,349.0,5.0,807.0,363.0
361,1.0,1.0,853.0,1.0,519.0,296.0
362,1.0,1.0,240.0,1.0,710.0,356.0
363,1.0,1.0,209.0,5.0,8299.0,501.0
364,1.0,1.0,476.0,1.0,927.0,940.0
365,1.0,1.0,703.0,1.0,2073.0,278.0
366,1.0,1.0,121.0,1.0,385.0,314.0
367,1.0,1.0,21.0,5.0,2.0,393.0
368,2.0,3.0,157.0,5.0,179.0,989.0
369,1.0,1.0,1116.0,1.0,229.0,424.0
370,1.0,1.0,2570.0,1.0,2775.0,521.0
371,1.0,1.0,1.0,1.0,172.0,330.0
372,1.0,1.0,135.0,1.0,704.0,295.0
373,1.0,1.0,576.0,1.0,786.0,332.0
374,1.0,1.0,711.0,1.0,1719.0,948.0
375,1.0,1.0,919.0,1.0,2188.0,276.0
376,1.0,1.0,599.0,1.0,721.0,638.0
377,1.0,1.0,5.0,1.0,105.0,440.0
378,1.0,1.0,746.0,1.0,1396.0,1164.0
379,1.0,3.0,8492.0,2.0,422.0,478.0
380,1.0,1.0,77.0,1.0,80.0,264.0
381,1.0,1.0,432.0,1.0,50.0,141.0
382,1.0,1.0,587.0,1.0,1067.0,261.0
383,1.0,1.0,2573.0,1.0,3523.0,574.0
384,1.0,1.0,472.0,1.0,1609.0,1024.0
385,1.0,1.0,58.0,5.0,2352.0,328.0
386,2.0,7.0,263.0,8.0,1118.0,909.0
387,8.0,7.0,1016.0,1.0,1966.0,378.0
388,1.0,1.0,927.0,1.0,3235.0,550.0
389,1.0,1.0,468.0,1.0,623.0,279.0
390,1.0,1.0,175.0,1.0,260.0,442.0
391,6.0,2.0,6.0,5.0,29.0,322.0
392,1.0,1.0,349.0,1.0,4612.0,150.0
393,1.0,1.0,594.0,1.0,1203.0,735.0
394,1.0,1.0,371.0,1.0,56.0,281.0
395,1.0,1.0,1924.0,1.0,1553.0,4163.0
396,1.0,1.0,2480.0,1.0,2855.0,999.0
397,1.0,1.0,121.0,1.0,232.0,361.0
398,6.0,3.0,1724.0,5.0,1743.0,390.0
399,1.0,1.0,444.0,1.0,690.0,881.0
400,1.0,1.0,3031.0,1.0,943.0,554.0
401,1.0,1.0,5.0,1.0,123.0,820.0
402,1.0,1.0,3181.0,1.0,1623.0,630.0
403,1.0,1.0,85.0,1.0,310.0,566.0
404,1.0,1.0,1475.0,1.0,394.0,387.0
405,1.0,1.0,187.0,1.0,426.0,1466.0
406,1.0,1.0,778.0,5.0,460.0,364.0
407,1.0,1.0,270.0,1.0,872.0,319.0
408,1.0,1.0,570.0,1.0,2029.0,435.0
409,1.0,1.0,260.0,1.0,616.0,359.0
410,1.0,1.0,788.0,5.0,710.0,657.0
411,1.0,1.0,438.0,1.0,886.0,705.0
412,1.0,1.0,93.0,1.0,521.0,554.0
413,1.0,1.0,146.0,1.0,57.0,319.0
414,1.0,1.0,530.0,1.0,346.0,288.0
415,7.0,3.0,214.0,1.0,285.0,260.0
416,1.0,1.0,10.0,1.0,369.0,474.0
417,1.0,1.0,23.0,1.0,755.0,365.0
418,3.0,1.0,1139.0,1.0,1336.0,1418.0
419,2.0,3.0,3.0,1.0,50.0,577.0
420,1.0,1.0,236.0,1.0,2099.0,986.0
421,1.0,1.0,556.0,1.0,520.0,638.0
422,1.0,1.0,429.0,1.0,4720.0,222.0
423,1.0,1.0,658.0,5.0,345.0,1012.0
424,1.0,1.0,25.0,1.0,215.0,718.0
